FiscalYear,FiscalYearType,AccountName,AgencyName,OperatingUnit,Category,Sector,Amount
2010,FY 2010 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,India,Peace and Security,Counterterrorism,2500000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,Guinea,Economic Development,Financial Sector,500000
2008,FY 2008 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Kosovo,Economic Development,Private Sector Competitiveness,11726000
2013,FY 2013 Actual Base,Development Assistance,DOS and USAID,Nigeria,Health,Water Supply and Sanitation,4777000
2015,FY 2015 Request,Foreign Military Financing,DOS and USAID,Djibouti,Peace and Security,Stabilization Operations and Security Sector Reform,700000
2013,FY 2013 Foreign Military Financing Base - OCO,Economic Support Fund - OCO,DOS and USAID,Near East Regional Democracy (DOS),"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,5230000
2011,FY 2011 Actual Base,Global Health Programs - USAID,DOS and USAID,Tanzania,Health,Maternal and Child Health,8982000
2009,FY 2009 Actual Base,Global Health Programs - USAID,DOS and USAID,Malawi,Health,Malaria,17700000
2015,FY 2015 Request,Economic Support Fund,DOS and USAID,Africa Regional Office (DOS),Education and Social Services,Social Services,300000
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Burundi,Economic Development,Agriculture,5797000
2015,FY 2015 Request,Global Health Programs - State,DOS and USAID,Guyana,Health,HIV/AIDS,6636000
2011,FY 2011 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Montenegro,Peace and Security,Combating Weapons of Mass Destruction (WMD),500000
2014,FY 2014 Request,Global Health Programs - USAID,DOS and USAID,Malawi,Health,Malaria,24000000
2006,FY 2006 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Pakistan,Peace and Security,Counterterrorism,7885000
2012,FY 2012 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,South Sudan,Peace and Security,Stabilization Operations and Security Sector Reform,2800000
2010,FY 2010 Actual Base,Economic Support Fund,DOS and USAID,Democratic Republic of Congo,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,4418000
2010,FY 2010 Actual Base,International Military Education and Training,DOS and USAID,Ethiopia,Peace and Security,Stabilization Operations and Security Sector Reform,336000
2015,FY 2015 Request,Foreign Military Financing,DOS and USAID,Haiti,Peace and Security,Stabilization Operations and Security Sector Reform,800000
2008,FY 2008 Actual Base,Economic Support Fund,DOS and USAID,South and Central Asia Regional Office (DOS),Education and Social Services,Higher Education,180000
2014,FY 2014 Request,Middle East and North Africa Incentive Fund,DOS and USAID,Middle East Regional Office (USAID),"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,1500000
2007,FY 2007 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Bangladesh,Peace and Security,Counterterrorism,2375000
2008,FY 2008 Actual Base,Economic Support Fund,DOS and USAID,Haiti,Education and Social Services,Basic Education,11241000
2007,FY 2007 Actual Base,Economic Support Fund,DOS and USAID,Afghanistan,Peace and Security,Counter-Narcotics,64948000
2013,FY 2013 Actual Base,Development Assistance,DOS and USAID,Ghana,Economic Development,Agriculture,42994000
2015,FY 2015 Request,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Turkey,Peace and Security,Combating Weapons of Mass Destruction (WMD),750000
2010,FY 2010 Actual Base,Global Health Programs - USAID,DOS and USAID,Azerbaijan,Health,Maternal and Child Health,750000
2008,FY 2008 Actual Base,International Military Education and Training,DOS and USAID,Ethiopia,Peace and Security,Stabilization Operations and Security Sector Reform,586000
2008,FY 2008 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Kosovo,Economic Development,Infrastructure,20866000
2011,FY 2011 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Russia,Economic Development,Trade and Investment,150000
2007,FY 2007 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Moldova,"Democracy, Human Rights, and Governance",Good Governance,2325000
2007,FY 2007 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Health,Water Supply and Sanitation,187000
2014,FY 2014 Request,Development Assistance,DOS and USAID,Kenya,Environment,Environment,11000000
2006,FY 2006 Actual Base,Food for Peace Title II,DOS and USAID,Guatemala,Humanitarian Assistance,"Protection, Assistance and Solutions",7562000
2012,FY 2012 Actual Base,Development Assistance,DOS and USAID,Latin America and Caribbean Regional Office (USAID),Environment,Environment,7655000
2007,FY 2007 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Serbia,Economic Development,Economic Opportunity,6800000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Senegal,Peace and Security,Conflict Mitigation and Reconciliation,750000
2006,FY 2006 Actual Base,Foreign Military Financing,DOS and USAID,Bureau of Political-Military Affairs (DOS),Peace and Security,Stabilization Operations and Security Sector Reform,43065000
2012,FY 2012 Actual Base,Economic Support Fund,DOS and USAID,Tunisia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,358000
2006,FY 2006 Actual Base,Global Health Programs - State,DOS and USAID,Kenya,Health,HIV/AIDS,175950000
2007,FY 2007 Actual Base,Development Assistance,DOS and USAID,Office of Development Partners (USAID),Economic Development,Trade and Investment,200000
2009,FY 2009 Actual Base,Global Health Programs - USAID,DOS and USAID,Pakistan,Health,Family Planning and Reproductive Health,10000000
2007,FY 2007 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Brazil,Peace and Security,Combating Weapons of Mass Destruction (WMD),200000
2015,FY 2015 Request,Food for Peace Title II,DOS and USAID,Zimbabwe,Economic Development,Agriculture,5746000
2008,FY 2008 Actual Base,Economic Support Fund,DOS and USAID,East Asia and Pacific Regional Office (DOS),Economic Development,Agriculture,210000
2013,FY 2013 Foreign Military Financing Base - OCO,Economic Support Fund - OCO,DOS and USAID,Afghanistan,Education and Social Services,Social Assistance,20500000
2012,FY 2012 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Sri Lanka,Peace and Security,Stabilization Operations and Security Sector Reform,3000000
2007,FY 2007 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Tajikistan,Health,Family Planning and Reproductive Health,47000
2014,FY 2014 Request,Economic Support Fund,DOS and USAID,Turkmenistan,Education and Social Services,Higher Education,937000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Honduras,Education and Social Services,Basic Education,9402000
2011,FY 2011 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,South Sudan,Peace and Security,Stabilization Operations and Security Sector Reform,17500000
2013,FY 2013 Actual Base,International Military Education and Training,DOS and USAID,Poland,Peace and Security,Stabilization Operations and Security Sector Reform,1895000
2010,FY 2010 Actual Base,Global Health Programs - USAID,DOS and USAID,Malawi,Health,Family Planning and Reproductive Health,9844000
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Bosnia and Herzegovina,Peace and Security,Counterterrorism,843000
2007,FY 2007 Actual Base,Economic Support Fund,DOS and USAID,Cambodia,"Democracy, Human Rights, and Governance",Good Governance,2953000
2010,FY 2010 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Tajikistan,Health,Water Supply and Sanitation,142000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Guyana,Economic Development,Private Sector Competitiveness,830000
2008,FY 2008 Actual Base,Development Assistance,DOS and USAID,Senegal,Peace and Security,Conflict Mitigation and Reconciliation,1498000
2012,FY 2012 Actual Base,Food for Peace Title II,DOS and USAID,Bangladesh,Health,Water Supply and Sanitation,2956000
2014,FY 2014 Request,Economic Support Fund,DOS and USAID,Haiti,Economic Development,Agriculture,28000000
2015,FY 2015 Request,Economic Support Fund,DOS and USAID,Jordan,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,8000000
2014,FY 2014 Request,International Narcotics Control and Law Enforcement,DOS and USAID,East Asia and Pacific Regional Office (DOS),"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,1000000
2014,FY 2014 Request,Development Assistance,DOS and USAID,Ethiopia,Environment,Environment,4000000
2013,FY 2013 Foreign Military Financing Base - OCO,International Narcotics Control and Law Enforcement - OCO,DOS and USAID,Pakistan,Peace and Security,Counter-Narcotics,12364000
2015,FY 2015 Request,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Office of the Coordinator for Counterterrorism (DOS),Peace and Security,Counterterrorism,94302000
2006,FY 2006 Actual Base,Economic Support Fund,DOS and USAID,Mexico,"Democracy, Human Rights, and Governance",Civil Society,978000
2008,FY 2008 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Peace and Security,Combating Weapons of Mass Destruction (WMD),4663000
2010,FY 2010 Actual Base,Food for Peace Title II,DOS and USAID,Djibouti,Humanitarian Assistance,"Protection, Assistance and Solutions",2129000
2015,FY 2015 Request,Global Health Programs - USAID,DOS and USAID,Uganda,Health,Nutrition,7200000
2015,FY 2015 Request,Development Assistance,DOS and USAID,Jamaica,Environment,Environment,5500000
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,Economic Development,Infrastructure,5554000
2008,FY 2008 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Moldova,Economic Development,Trade and Investment,241000
2010,FY 2010 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Haiti,Peace and Security,Stabilization Operations and Security Sector Reform,96207000
2006,FY 2006 Actual Base,International Military Education and Training,DOS and USAID,Kazakhstan,Peace and Security,Stabilization Operations and Security Sector Reform,995000
2006,FY 2006 Actual Base,International Military Education and Training,DOS and USAID,The Bahamas,Peace and Security,Stabilization Operations and Security Sector Reform,399000
2008,FY 2008 Actual Base,Development Assistance,DOS and USAID,Democratic Republic of Congo,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2283000
2013,FY 2013 Actual Base,Development Assistance,DOS and USAID,Tanzania,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2000000
2013,FY 2013 Actual Base,Economic Support Fund,DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Peace and Security,Combating Weapons of Mass Destruction (WMD),2216000
2009,FY 2009 Supp,Economic Support Fund,DOS and USAID,West Bank and Gaza,Education and Social Services,Social Services,2000000
2014,FY 2014 Request,International Narcotics Control and Law Enforcement,DOS and USAID,Central Asia Regional Office (USAID),Peace and Security,Counter-Narcotics,7000000
2015,FY 2015 Request,International Organizations and Programs,DOS and USAID,International Organizations (DOS) - UNICEF UN Children's Fund,Health,Maternal and Child Health,116594000
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Africa Regional Office (DOS),Education and Social Services,Social Services,1100000
2011,FY 2011 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Bureau of International Narcotics and Law Enforcement Affairs (DOS),Peace and Security,Counter-Narcotics,94015000
2012,FY 2012 Actual Base,Development Assistance,DOS and USAID,Ethiopia,Environment,Environment,4000000
2013,FY 2013 Actual Base,International Military Education and Training,DOS and USAID,Guyana,Peace and Security,Stabilization Operations and Security Sector Reform,284000
2008,FY 2008 Actual Base,Global Health Programs - USAID,DOS and USAID,Swaziland,Health,HIV/AIDS,8332000
2006,FY 2006 Actual Base,International Military Education and Training,DOS and USAID,Philippines,Peace and Security,Stabilization Operations and Security Sector Reform,2926000
2008,FY 2008 Actual Base,Food for Peace Title II,DOS and USAID,Madagascar,Economic Development,Agriculture,4987000
2008,FY 2008 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Mexico,Peace and Security,Stabilization Operations and Security Sector Reform,3800000
2008,FY 2008 Actual Base,Development Assistance,DOS and USAID,Nicaragua,"Democracy, Human Rights, and Governance",Civil Society,700000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Timor-Leste,"Democracy, Human Rights, and Governance",Good Governance,1400000
2014,FY 2014 Request,Economic Support Fund,DOS and USAID,Tajikistan,Education and Social Services,Basic Education,3800000
2009,FY 2009 Actual Base,Economic Support Fund,DOS and USAID,West Bank and Gaza,Health,Other Public Health Threats,8650000
2008,FY 2008 Actual Base,Economic Support Fund,DOS and USAID,Colombia,Peace and Security,Stabilization Operations and Security Sector Reform,18606000
2009,FY 2009 Actual Base,Development Assistance,DOS and USAID,Malawi,Economic Development,Private Sector Competitiveness,1330000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,China,Program Management,Direct Administrative Costs,968000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,"Bureau for Economic Growth, Agriculture and Trade (USAID)",Education and Social Services,Social Services,2926000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,Indonesia,Education and Social Services,Higher Education,15000000
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Kyrgyz Republic,Health,Other Public Health Threats,798000
2010,FY 2010 Actual Base,Foreign Military Financing,DOS and USAID,Suriname,Peace and Security,Stabilization Operations and Security Sector Reform,400000
