FiscalYear,QTR,FiscalYearType,AccountName,AgencyName,OperatingUnit,BenefitingCountry,Category,Sector,Amount
2009,4,Obligations,Development Assistance,USAID,Vietnam,Vietnam,Peace and Security,Transnational Crime,405000
2011,1,Obligations,N/A,Peace Corps,Turkmenistan,Turkmenistan,,Multi-Sector - Unspecified,44766.72
2013,1,Obligations,N/A,Peace Corps,Mozambique,Mozambique,,Education and Social Services - General,2633614.98
2010,4,Obligations,Economic Support Fund,USAID,Egypt,Egypt,Program Management,Direct Administrative Costs,709248.9399999999
2011,2,Obligations,Development Assistance,USAID,USAID Operating Expense,Worldwide,Program Management,Direct Administrative Costs,37.87
2012,4,Obligations,Global Health & Child Survival,USAID,Guyana,Guyana,Health,HIV/AIDS,1621672
2012,4,Obligations,Development Assistance,USAID,El Salvador,El Salvador,Program Management,Monitoring and Evaluation,175440
2013,4,Obligations,Global Health & Child Survival,USAID,India,India,Program Management,Direct Administrative Costs,1033698.68
2013,3,Obligations,Economic Support Fund,USAID,East Asia Region,East Asia Region,Environment,Clean Productive Environment,265000
2010,3,Obligations,Development Assistance,USAID,India,India,Economic Development,Infrastructure,-3866.22
2012,1,Obligations,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Cuba,Program Management,Direct Administrative Costs,-79197.28
2013,4,Obligations,N/A,USAID,Eurasia Region,Eurasia Region,Humanitarian Assistance,"Protection, Assistance and Solutions",.23
2012,3,Obligations,N/A,USAID,Somalia,Somalia,Humanitarian Assistance,"Protection, Assistance and Solutions",12109400
2009,2,Obligations,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Peace and Security,Conflict Mitigation and Reconciliation,-2876.73
2011,1,Obligations,Child Survival and Health Programs Fund,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of",Health,Malaria,-21586.87
2009,1,Obligations,Operating Expenses,USAID,Guyana,Worldwide,Program Management,Direct Administrative Costs,45596.35
2011,2,Obligations,Development Assistance,USAID,Vietnam,Vietnam,Education and Social Services,Social Services,-230.38
2013,3,Obligations,N/A,USAID,Yemen,Yemen,Economic Development,Economic Opportunity,83246
2014,2,Obligations,Economic Support Fund,USAID,Tajikistan,Tajikistan,"Democracy, Human Rights, and Governance",Civil Society,589314
2011,2,Obligations,Operating Expenses,USAID,Liberia,Worldwide,Program Management,Direct Administrative Costs,1732284.27
2009,4,Obligations,Development Assistance,USAID,Moldova,Moldova,Economic Development,Economic Opportunity,235000
2009,2,Obligations,Operating Expenses,USAID,Georgia,Worldwide,Program Management,Direct Administrative Costs,788673.28
2013,2,Obligations,International Disaster Assistance,USAID,Lesotho,Lesotho,Humanitarian Assistance,Disaster Readiness,-4300
2013,4,Obligations,Economic Support Fund,USAID,Colombia,Colombia,"Democracy, Human Rights, and Governance",Good Governance,281466.52
2012,2,Obligations,Development Assistance,USAID,Yemen,Yemen,Economic Development,Economic Opportunity,-150000
2013,1,Obligations,N/A,Peace Corps,Paraguay,Paraguay,,Multi-Sector - Unspecified,35968.97
2009,4,Obligations,Global Health & Child Survival,USAID,Cambodia,Cambodia,Health,Family Planning and Reproductive Health,4455391
2014,2,Obligations,N/A,USAID,Latin America and Caribbean Region,Latin America and Caribbean Region,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,367000
2012,4,Obligations,Development Assistance,USAID,USAID Africa Regional,Africa Region,Economic Development,Agriculture,259252.12
2009,3,Obligations,Commodity Credit Corp Title II and III,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Sierra Leone,Humanitarian Assistance,"Protection, Assistance and Solutions",2046378
2013,1,Obligations,Global Health & Child Survival,USAID,Vietnam,Vietnam,Health,HIV/AIDS,2136829.24
2011,2,Obligations,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Kenya,Program Management,Direct Administrative Costs,52189.2
2010,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Russia,Russia,Health,Other Public Health Threats,260000
2011,4,Obligations,Global Health & Child Survival,USAID,Cote d'Ivoire,Cote d'Ivoire,Health,HIV/AIDS,7190227
2011,1,Obligations,Democracy Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Sierra Leone,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,1000000
2013,3,Obligations,N/A,USAID,Latin America and Caribbean Region,Latin America and Caribbean Region,Program Management,Monitoring and Evaluation,4329
2010,1,Obligations,N/A,Peace Corps,Cape Verde,Cape Verde,,Multi-Sector - Unspecified,4153.92
2010,3,Obligations,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Lebanon,Education and Social Services,Social Services,800000
2013,4,Obligations,Economic Support Fund,USAID,Tunisia,Tunisia,Economic Development,Private Sector Competitiveness,3893600
2013,4,Obligations,N/A,USAID,Rwanda,Rwanda,Economic Development,Agriculture,550000
2010,4,Obligations,Development Assistance,USAID,Paraguay,Paraguay,Environment,Natural Resources and Biodiversity,1000000
2012,1,Obligations,N/A,MCC,Senegal,Senegal,Economic Development,Infrastructure,-70000
2012,3,Obligations,N/A,MCC,Ghana,Ghana,Economic Development,Economic Opportunity,273205.17
2012,1,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Program Management,Direct Administrative Costs,1912659.05
2013,1,Obligations,N/A,Peace Corps,Tunisia,Tunisia,,Multi-Sector - Unspecified,198168.91
2011,2,Obligations,Operating Expenses,USAID,Haiti,Worldwide,Program Management,Direct Administrative Costs,2901968.61
2013,1,Obligations,Global Health & Child Survival,USAID,Nigeria,Nigeria,Health,HIV/AIDS,18249392.63
2013,3,Obligations,N/A,USAID,Ghana,Ghana,Economic Development,Trade and Investment,-596.85
2012,2,Obligations,Economic Support Fund,USAID,Cambodia,Cambodia,Program Management,Monitoring and Evaluation,26597.8
2012,3,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Marshall Islands,Program Management,Direct Administrative Costs,-5605.36
2009,4,Obligations,Global Health & Child Survival,USAID,USAID Global Health,Ethiopia,Health,Maternal and Child Health,550190
2013,4,Obligations,International Disaster Assistance,USAID,Georgia,Georgia,Humanitarian Assistance,Disaster Readiness,-1925.75
2013,2,Obligations,Global Health & Child Survival,USAID,Malawi,Malawi,Health,Malaria,18410000
2009,4,Obligations,N/A,MCC,Jordan,Jordan,Health,Water Supply and Sanitation,11840000
2011,4,Obligations,Development Assistance,USAID,Philippines,Philippines,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,800000
2010,4,Obligations,Economic Support Fund,USAID,Honduras,Honduras,"Democracy, Human Rights, and Governance",Good Governance,9750000
2013,3,Obligations,Child Survival and Health Programs Fund,USAID,Bangladesh,Bangladesh,Health,Tuberculosis,-603.31
2011,2,Obligations,Global Health & Child Survival,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of",Health,Tuberculosis,185000
2012,1,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Azerbaijan,Azerbaijan,Program Management,Direct Administrative Costs,25187.23
2012,3,Obligations,Global Health & Child Survival,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of",Health,Family Planning and Reproductive Health,300000
2011,4,Obligations,Economic Support Fund,USAID,Liberia,Liberia,Economic Development,Private Sector Competitiveness,2200000
2010,4,Obligations,Global Health & Child Survival,USAID,Zambia,Zambia,Health,Malaria,16693840
2013,2,Obligations,Commodity Credit Corp Title II and III,USAID,Senegal,Senegal,Humanitarian Assistance,"Protection, Assistance and Solutions",13546.37
2012,1,Obligations,Development Assistance,USAID,Vietnam,Vietnam,Economic Development,Private Sector Competitiveness,605000
2006,3,Obligations,N/A,MCC,Vanuatu,Vanuatu,Economic Development,Infrastructure,60690000
2012,2,Obligations,Development Assistance,USAID,"USAID Economic Growth, Education and Environment",Worldwide,Economic Development,Economic Opportunity,4298315.16
2013,3,Obligations,International Disaster Assistance,USAID,Sri Lanka,Sri Lanka,Program Management,Direct Administrative Costs,-39295.62
2009,1,Obligations,Special Assistance Initiatives,USAID,Croatia,Croatia,Economic Development,Private Sector Competitiveness,-25824.68
2011,4,Obligations,Commodity Credit Corp Title II and III,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Dominican Republic,Humanitarian Assistance,"Protection, Assistance and Solutions",125000
2014,2,Obligations,N/A,USAID,Ethiopia,Ethiopia,Environment,Natural Resources and Biodiversity,28145
2010,3,Obligations,Development Assistance,USAID,USAID Africa Regional,Africa Region,Program Management,Direct Administrative Costs,1508280.44
2009,,Obligations,N/A,IAF,Argentina,Argentina,,Agriculture,290390
2012,4,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Bolivia,Humanitarian Assistance,"Protection, Assistance and Solutions",-9116.24
2012,1,Obligations,N/A,Peace Corps,Zambia,Zambia,,Multi-Sector - Unspecified,190373.67
2013,3,Obligations,International Disaster Assistance,USAID,Philippines,Philippines,Program Management,Direct Administrative Costs,16160.65
2013,1,Obligations,Child Survival and Health Programs Fund,USAID,Philippines,Philippines,Program Management,Direct Administrative Costs,-832.18
2010,4,Obligations,Development Assistance,USAID,Yemen,Yemen,Economic Development,Macroeconomic Foundation for Growth,809330
2011,2,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance","Sudan, Pre-2011 Election",Humanitarian Assistance,Disaster Readiness,11481
2010,4,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Russia,Humanitarian Assistance,"Protection, Assistance and Solutions",881750
2011,2,Obligations,Civilian Stabilization Initiative,USAID,USAID Latin America and Caribbean Regional,Worldwide,Program Management,Direct Administrative Costs,8173.47
2010,4,Obligations,Development Assistance,USAID,Panama,Panama,Environment,Clean Productive Environment,1800000
2014,2,Obligations,N/A,USAID,Kenya,Kenya,Program Management,Monitoring and Evaluation,304783.46
2013,1,Obligations,N/A,MCC,Benin,Benin,Economic Development,Economic Opportunity,-.02
2013,3,Obligations,N/A,USAID,Cambodia,Cambodia,Program Management,Direct Administrative Costs,677896.5500000001
2013,4,Obligations,International Disaster Assistance,USAID,Worldwide,Worldwide,Program Management,Direct Administrative Costs,16162988.39
2014,2,Obligations,International Disaster Assistance,USAID,"Korea, North","Korea, North",Humanitarian Assistance,"Protection, Assistance and Solutions",-85061.33
2009,3,Obligations,Development Assistance,USAID,India,India,Economic Development,Macroeconomic Foundation for Growth,-38157.56
2012,1,Obligations,Development Assistance,USAID,Mexico,Mexico,Education and Social Services,Higher Education,1854323
2010,4,Obligations,Development Credit Authority,USAID,Bureau for Management (USAID),Worldwide,Program Management,Direct Administrative Costs,1798734.03
2009,4,Obligations,Operating Expenses,USAID,Brazil,Worldwide,Program Management,Direct Administrative Costs,1026022.72
2012,1,Obligations,Economic Support Fund,USAID,Venezuela,Venezuela,Program Management,Direct Administrative Costs,2718.87
2009,3,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Russia,Russia,"Democracy, Human Rights, and Governance",Civil Society,475000
2008,3,Obligations,N/A,MCC,Vanuatu,Vanuatu,Economic Development,Infrastructure,-27416
2014,2,Obligations,N/A,USAID,Somalia,Somalia,Education and Social Services,Social Assistance,777298
2014,,Obligations,N/A,USADF,Zimbabwe,Zimbabwe,,Agriculture,99858
2012,2,Obligations,Operating Expenses,USAID,USAID Africa Regional,Worldwide,Program Management,Direct Administrative Costs,3442371.72
2012,4,Obligations,Development Assistance,USAID,USAID Africa Regional,Africa Region,Education and Social Services,Basic Education,13077315.83
2012,3,Obligations,Economic Support Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Cuba,Program Management,Direct Administrative Costs,-7767.47
2009,4,Obligations,Global Health & Child Survival,USAID,Kenya,Kenya,Program Management,Monitoring and Evaluation,500000
2014,2,Obligations,Economic Support Fund,USAID,West Bank and Gaza,West Bank and Gaza,Health,Water Supply and Sanitation,-6000998.74
2009,4,Obligations,Development Assistance,USAID,Panama,Panama,Economic Development,Private Sector Competitiveness,1300000
2009,3,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Tajikistan,Tajikistan,Economic Development,Trade and Investment,-358.2
2010,3,Obligations,Global Health & Child Survival,USAID,Ghana,Ghana,Health,Malaria,300000
2012,3,Obligations,N/A,MCC,Ghana,Ghana,Economic Development,Macroeconomic Foundation for Growth,-89139
2013,1,Obligations,N/A,USAID,Senegal,Senegal,Economic Development,Agriculture,2372742
2011,3,Obligations,Development Assistance,USAID,Peru,Peru,Environment,Natural Resources and Biodiversity,400000
2011,1,Obligations,Development Assistance,USAID,"USAID Economic Growth, Education and Environment",Worldwide,Program Management,Direct Administrative Costs,853551.25
2012,1,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Azerbaijan,Azerbaijan,"Democracy, Human Rights, and Governance",Civil Society,200000
2012,4,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Thailand,Program Management,Direct Administrative Costs,-160.92
2012,2,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Indonesia,Program Management,Direct Administrative Costs,210382.5
2013,1,Obligations,N/A,USAID,South Africa,South Africa,Environment,Clean Productive Environment,700000
2009,4,Obligations,Development Assistance,USAID,Yemen,Yemen,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,6536
2011,3,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance","Congo, Democratic Republic of",Program Management,Direct Administrative Costs,490934.84
2012,4,Obligations,Economic Support Fund,USAID,Yemen,Yemen,Education and Social Services,Basic Education,5082000
2010,4,Obligations,N/A,MCC,Moldova,Moldova,Program Management,Direct Administrative Costs,27003907
2011,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Uzbekistan,Uzbekistan,"Democracy, Human Rights, and Governance",Civil Society,348227
2009,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Ukraine,Ukraine,Economic Development,Infrastructure,3000000
2010,3,Obligations,Economic Support Fund,USAID,Afghanistan,Afghanistan,Peace and Security,Conflict Mitigation and Reconciliation,0
